id,tipo,id_publicacion,partido,comentario,likes_comentario,usuario,nombre_usuario,fecha_comentario,platform,tematica,opinion
17869539102681323,comentario,3906455919787181878,RubiSound,👏👏👏,2,jenifermilan,-,2026-05-30,instagram,otros,positiva
18102317876094561,comentario,3906455919787181878,RubiSound,A topeeeee!!! 🙌🏼🔥💣,2,feelsing_oficial,-,2026-05-28,instagram,otros,neutra
18590965081038184,comentario,3906455919787181878,RubiSound,😍😍😍😍😍❤️❤️,3,joseantonioblancoprieto,-,2026-05-27,instagram,otros,positiva
18117868798689197,comentario,3906455919787181878,RubiSound,Feliz cumpleaños ✨⭐,3,carmensola13,-,2026-05-27,instagram,gestio_municipal,positiva
17992434509972121,comentario,3906455919787181878,RubiSound,"Wow Jere! Recuerdos de hace casi 20 años! ""Te mentiría"" y ""A mi qué"". Temazos",4,la_silviag,-,2026-05-27,instagram,otros,positiva
18116967865761628,comentario,3906455919787181878,RubiSound,🔥🔥🔥🔥🔥,3,veryhappy1980,-,2026-05-27,instagram,otros,negativa
18104079085804035,comentario,3906455919787181878,RubiSound,🔥🔥,3,susana.arte79,-,2026-05-27,instagram,otros,negativa
18073710923304175,comentario,3906455919787181878,RubiSound,🔥🔥🔥,3,jeremusico,-,2026-05-27,instagram,otros,negativa
18107114417481974,comentario,3905490072006943735,Radio Rubí,👏👏👏,1,aenou_,-,2026-05-26,instagram,otros,positiva
17856742731660786,comentario,3909299147551700971,Radio Rubí,Plantes un arbre per cada víctima ❤️🙌,1,rosaroseyo,-,2026-06-01,instagram,medio_ambiente,positiva
17981781005840813,comentario,3896765521369173017,VOX Barcelona,"A ver si se acaba ya con toda esta lacra, que siempre están al acecho.",0,antoniaperezcolom1954,-,2026-05-25,instagram,otros,negativa
18070950194679137,comentario,3896765521369173017,VOX Barcelona,Por desgracia los okupas tienen más derechos q nadie,3,esp_08214_bad,-,2026-05-22,instagram,okupacion,neutra
18323001442248244,comentario,3896765521369173017,VOX Barcelona,Gobierno jueces Polis cómplices,0,joseantonioibanez4,-,2026-05-18,instagram,politica,neutra
17941027362211604,comentario,3896765521369173017,VOX Barcelona,Abascal presidente 💚💚💚viva Vox,1,pepigonzalez18,-,2026-05-16,instagram,politica,positiva
18315859015278419,comentario,3896765521369173017,VOX Barcelona,Cataluña es la última mierda de Europa gracias a Sánchez y a Europa que lo permite 🔥,0,miriam_puig_gomez,-,2026-05-16,instagram,politica,negativa
17858943537637394,comentario,3896765521369173017,VOX Barcelona,Lo que está pasando es muy alarmante y peligroso . Vamos a tener que salir siempre armados hasta los dientes.,2,gomez.juanavega,-,2026-05-15,instagram,otros,negativa
18102767465004256,comentario,3896765521369173017,VOX Barcelona,Hay que traer nuevamente la ley de vagos y maleantes.,0,josemariaruiz47,-,2026-05-15,instagram,animals_fauna,neutra
17859920883638064,comentario,3896765521369173017,VOX Barcelona,A ver si se acaba toda esta  lacra,0,antoniaperezcolom1954,-,2026-05-25,instagram,otros,negativa
18095747684463450,comentario,3908326074344889604,Radio Rubí,Pues si es carísimo  yo no pienso mi ir para verlo asta Lugo,0,quesada.lola,-,2026-05-31,instagram,otros,neutra
18101659787024485,comentario,3908326074344889604,Radio Rubí,"Pero tienen unos precios super caros si quieren que consumamos porque es la feria del pulpo tendrían que poner unos precios racionales no abusivos tal y como está todo es imposible poder disfrutar de esta fiesta regional hay muchos bares que el pulpo lo tienen más barato y super tierno ,es un abuso yo no pienso pagar por un plato de pulpo pequeño una barbaridad porque ellos quieran y pienso que lo mismo que yo pienso lo piensan muchos Rubínenses",2,ladelsevillano62,-,2026-05-30,instagram,cultura_fiestas,positiva
17948943596996548,comentario,3908326074344889604,Radio Rubí,"Todo carisimo, para una fiesta popular, es tomadura de pelo, por no decir un atraco, que les aproveche",0,vicente.gallego.31,-,2026-05-30,instagram,cultura_fiestas,neutra
18122957824647645,comentario,3905397881613326780,Radio Rubí,Alguna recomenació de lloc a rubí per veureho?,0,adriahelices_,-,2026-05-27,instagram,otros,neutra
18356073676215722,comentario,3901291060276699722,Partido Popular de Rubí,👏👏👏👏,0,los_yayos_,-,2026-05-21,instagram,otros,positiva
17992462085966964,comentario,3901291060276699722,Partido Popular de Rubí,💙💙💙,0,yolandalagoapalomo,-,2026-05-21,instagram,otros,positiva
18075287876405484,comentario,3907129390296812049,ERC Rubí,Molt bé!,2,elisendaalamany,-,2026-05-29,instagram,reaccio_emocional,positiva
17999971856767123,comentario,3907129390296812049,ERC Rubí,"Molta força, Montse!",2,antonilluistrobat,-,2026-05-29,instagram,otros,neutra
17970580002106517,comentario,3907129390296812049,ERC Rubí,Es tristísimo! Te obligan irte fuera a comprar.....,1,vanesa_povea,-,2026-05-29,instagram,deporte,neutra
18052745894514142,comentario,3907129390296812049,ERC Rubí,"Ostres, ja era hora que us adonéssiu de la problemàtica.",1,jcs200,-,2026-05-28,instagram,otros,neutra
