id,tipo,publicacion,likes,partido,fecha_publicacion,platform,tematica
3907620605689598433,post,"El sonet de l'actualitat d'aquest 29 de maig del Toni Bravo.

Recupera tots els continguts del programa 'Rubí al Dia' a l'enllaç de la biografia.

#rubicity #rubialdia @tonibravo.fm",7,Radio Rubí,2026-05-29,instagram,politica
3906455919787181878,post,"🎸🤟 @jeremusico retorna al @rubisound per parlar de #Apolo 🚀 i moltes més coses 🤩
🎙️ Entrevista amb actuació musical inclosa 🎶
-
#totsfemrubisound 
#supercrack
#divendres29demaig
#21h997FM
@radiorubicat 
@rubiciutat
@comando_jere_",148,RubiSound,2026-05-27,instagram,politica
3905490072006943735,post,"🖋️24 alumnes de les escoles Montessori i Pau Casals de Rubí participen al projecte ‘Sí que és Pau!’, una iniciativa per reflexionar sobre guerres, conflictes i cultura de la pau dins del programa CROMA 2.0. “La vida també són conflictes i aprendre a veure’ls i a resoldre’ls també forma part de la seva formació”. La directora de l'escola Pau Casals,Rosana Martín, explica el valor educatiu del projecte ‘Sí que és Pau!’.

Mira l'ENTREVISTA i llegeix la NOTÍCIA a la nostra web. Enllaç a la bio.

#Rubicity #Rubi #Síqueespau #CulturaPau",93,Radio Rubí,2026-05-26,instagram,joventut_educacio
3898969344014576307,post,"🌈 Avui, 17 de maig, Dia Internacional contra la LGTBI-fòbia, alcem la veu per defensar una societat lliure, diversa i respectuosa.

A #RubíCity no hi ha lloc per a l’odi ni per a la discriminació. Defensem el dret de totes les persones a estimar i viure amb llibertat, sense por i amb plena igualtat de drets.

Des d’ @esquerrarubi treballem per una ciutat orgullosament diversa, inclusiva i compromesa amb els drets humans. Perquè els drets del col·lectiu LGTBI+ són drets de tothom.

👀 Obrim els ulls.
✊ Aturem la LGTBI-fòbia.",12,ERC Rubí,2026-05-17,instagram,igualtat_diversitat
3904081199134432410,post,"🥘Gran mañana compartiendo la paella popular organizada por la Asociación de Vecinos de la Zona Norte.

Un placer poder disfrutar de estos encuentros que llenan de vida el barrio y nos permiten compartir conversaciones, risas y buenos momentos entre vecinos.

Gracias a todos los que lo habéis hecho posible 💙

#RubiCity | #RubiConJuanjoGiner",19,Partido Popular de Rubí,2026-05-24,instagram,tecnologia_innovacio
3890979347415299495,post,"L’Escola de l’Esbart Dansaire de Rubí celebrarà una nova edició del seu ja consolidat Tastet de Primavera, una activitat que arriba enguany a la seva cinquena edició. Aquesta proposta, que se celebra cada dos anys, s’ha convertit en una cita destacada per a les famílies i amants de la cultura popular de la ciutat.

L’acte tindrà lloc dissabte 9 de maig a les 18.30 h a la Plaça Doctor Guardiet, i oferirà una mostra de dansa tradicional catalana protagonitzada pels grups de l’escola de l’entitat.

L’objectiu és posar en valor la feina pedagògica i artística que es desenvolupa al llarg del curs, alhora que es comparteix amb la ciutadania el patrimoni cultural que ensenya l’entitat.

Durant la jornada, els diferents grups interpretaran diverses danses tradicionals, com ara la
Bolangera Toca Toca, el Patatuf, els Panderos de Vilafranca o la Sardana de Calaf entre d’altres.

L’acte culminarà amb un final de festa amb sorpresa, pensat per tancar la vetllada amb un ambient festiu i participatiu.

Amb aquesta iniciativa, l’Esbart Dansaire de Rubí reafirma el seu compromís amb la promoció de la cultura popular i amb la transmissió de les tradicions a les noves generacions.

📍Plaça Sant Pere

@esbartderubi #rubicity #rubiciutat #diariderubi #cultura",39,Diari de Rubí,2026-05-06,instagram,cultura_fiestas
3909299147551700971,post,"El monument a les víctimes de la rierada, afectat des de fa més d’un any per esquerdes a les bigues, s’ha retirat aquest diumenge per a la seva restauració. La retirada permetrà ara reprendre les obres del col·lector d’aigua, que estaven aturades des de la troballa. 

#rubicity @rubi_ciutat @jordi_arnaiz_moreno",100,Radio Rubí,2026-05-31,instagram,memoria_historia
3896765521369173017,post,"‼️ ÚLTIMA HORA

En la puerta de los juzgados de Rubí apoyando a la familia víctima de una okupación violenta.

Cataluña se ha convertido en el paraíso de las okupaciones: leyes que protegen a los delincuentes y abandonan a los propietarios honestos.

¡Basta ya!",1051,VOX Barcelona,2026-05-14,instagram,okupacion
3908326074344889604,post,"Aquest cap de setmana, la Rambla del Ferrocarril acull la festa de les letras galegas:  cultura, gastronomia i música. 
  #rubicity #Rubí #letrasgalegas  @irmandadegalegarubi",177,Radio Rubí,2026-05-30,instagram,cultura_fiestas
3905397881613326780,post,"🌘 Com es veurà l'eclipsi solar del 12 d'agost a Rubí? Aquí no es veurà en la seva totalitat, però sí en un 99,7% (a la zona de Tarragona i el sud de Lleida sí que es veurà al 100%). El moment de màxima foscor a Rubí serà a les 20.29 h i, per veure aquest fenomen amb millor claredat, s’ha de buscar un lloc on no hi hagi molta contaminació lumínica i que estigui una mica alçat, de manera que es pugui veure la línia de l’horitzó. És un fenomen que no es veia a Catalunya des del 1905, i que no es tornarà a repetir fins al 2180.

#rubicitiy @atrorubi_oficial @astronomiarubi

Pots ampliar la informació a l'enllaç de la biografia",27,Radio Rubí,2026-05-26,instagram,transport_public
